state,make
az,Chevrolet
ca,Nissan
co,Kia
fl,Kia
ga,Ford
hi,Mazda
il,Chevrolet
in,Hyundai
la,Nissan
ma,Ford
md,Chevrolet
mi,Chevrolet
mn,Kia
mo,Ford
ms,Chevrolet
nc,Chevrolet
ne,Chevrolet
nj,BMW
nm,Chevrolet
nv,Kia
ny,Ford
oh,BMW
or,Chrysler
pa,Chrysler
pr,Scion
sc,Chevrolet
tn,Ford
tx,Ford
ut,Hyundai
va,Chevrolet
wa,Volvo
wi,Kia
