make,color
Acura,gray
Audi,white
BMW,white
Buick,white
Cadillac,black
Chevrolet,white
Chrysler,gray
Dodge,white
FIAT,white
Ford,black
GMC,black
Honda,black
Hyundai,silver
Infiniti,white
Jaguar,white
Jeep,white
Kia,white
"Land Rover",white
Lexus,white
Lincoln,—
Mazda,gray
Mercedes-Benz,white
MINI,white
Mitsubishi,—
Nissan,white
Porsche,white
Ram,white
Scion,black
smart,white
Subaru,silver
Toyota,white
Volkswagen,gray
Volvo,white
