condition,average_selling_price
1,10951.37
2,12545.67
3,23643.75
4,24633.7
5,28732.87
15,10500
19,15659
21,18176.67
22,20600
23,18372.22
24,25002.94
25,18785.94
26,17086.41
27,27515.79
28,19594
29,22205.6
31,20894.38
32,19170.59
33,23411.67
34,25844.12
35,23958.43
36,23640.17
37,25579.81
38,25559.91
39,25421.97
41,26818.65
42,27436.91
43,27646.56
44,28391.09
45,27625.07
46,27920.36
47,29375.56
48,28662.8
49,28300.39
