color,count
white,1910
black,1644
gray,1220
silver,1039
red,650
blue,523
—,374
burgundy,152
brown,128
beige,86
green,78
gold,70
purple,32
orange,31
yellow,25
off-white,17
charcoal,10
pink,2
turquoise,1
