make,"Number of cars"
Volvo,317
Nissan,499
Kia,1252
Ford,906
Chevrolet,1256
Audi,99
Lexus,83
Hyundai,443
BMW,601
Buick,114
Chrysler,404
GMC,220
Mazda,333
Jeep,289
Mitsubishi,56
Dodge,209
Honda,69
Subaru,228
Mercedes-Benz,103
Volkswagen,56
Acura,16
Porsche,4
Jaguar,15
Cadillac,58
Toyota,217
Lincoln,26
Scion,9
MINI,46
smart,1
FIAT,5
Ram,43
"Land Rover",6
Infiniti,9
