condition,average_milage
1,8234
2,9612
3,14908
4,14055
5,8109
15,9973
19,9744
21,13526
22,8066
23,10135
24,14699
25,9793
26,9826
27,9514
28,13438
29,11168
31,12155
32,18090
33,17599
34,14243
35,17530
36,16890
37,15845
38,16666
39,16141
41,15413
42,15730
43,14465
44,13305
45,13555
46,13182
47,12337
48,11326
49,10096
